loc_verbatim,loc_name,loc_auth,,
34 Boulevard Clichy,34 boulevard Clichy,"Paris, France",,
34 Rue Lafayette,34 rue Lafayette,"Paris, France",,
34 rue Taitbout,34 rue Taitbout,"Paris, France",,
34bis avenue du Bois,34 bis avenue du Bois de Boulogne,"Paris, France",,
35 avenue de l'Opéra,35 avenue de l'Opéra,"Paris, France",,
35 Avenue de l'opéra,35 avenue de l'Opéra,"Paris, France",,
35 Faubourg Saint Honoré,35 Faubourg Saint Honoré,"Paris, France",,
35 rue Brochant,35 rue Brochant,"Paris, France",,
"35 Rue Esprit des Lois, Bordeaux",35 rue Esprit des Lois,"Bordeaux, France",,
35 Rue Saint Symphonin,35 rue Saint Symphorien,"Paris, France",,
35 Rue Saint Symphorien,35 rue Saint Symphorien,"Paris, France",,
"35 Rue Vernet, Paris",35 rue Vernet,"Paris, France",,
"355 Fifth Avenue, New York",355 Fifth avenue,"New York, NY, USA",,
36 Avenue de d'Opéra,36 avenue de l'Opéra,"Paris, France",,
36 avenue de l'Opéra,36 avenue de l'Opéra,"Paris, France",,
36 Avenue de l'Opéra,36 avenue de l'Opéra,"Paris, France",,
"36 Avenue de l'Opéra, Paris",36 avenue de l'Opéra,"Paris, France",,
36 Boulevard des Italiens,36 boulevard des Italiens,"Paris, France",,
36 Rue Bonaparte,36 rue Bonaparte,"Paris, France",,
36 rue Copernic,36 rue Copernic,"Paris, France",,
36 Rue de la Véga,36 rue de la Véga,"Paris, France",,
36 Rue de Naples,36 rue de Naples,"Paris, France",,
36 rue de Trevise,36 rue de Trévise,"Paris, France",,
36 Rue de Trévise,36 rue de Trévise,"Paris, France",,
"36 Rue Esprit des Lois, Bordeaux",36 rue Esprit des Lois,"Bordeaux, France",,
36 rue Laffitte,36 rue Laffitte,"Paris, France",,
36 rue Taitbout,36 rue Taitbout,"Paris, France",,
36 Rue Taitbout,36 rue Taitbout,"Paris, France",,
"36, rue de Bruxelles",36 rue de Bruxelles,"Paris, France",,
360 Rue Saint Honoré,360 rue Saint Honoré,"Paris, France",,
37 avenue d'Iéna,37 avenue d'Iéna,"Paris, France",,
37 avenue de l'Opéra,37 avenue de l'Opéra,"Paris, France",,
"37 rue Chesson, Bois Colombes",37 rue Chesson,"Bois Colombes, France",,
37 rue des martyrs,37 rue des Martyrs,"Paris, France",,
"37 Rue Esprit des Lois, Bordeaux",37 rue Esprit des Lois,"Bordeaux, France",,
37 rue Fontaine,37 rue Fontaine,"Paris, France",,
37 rue Jean Goujon,37 rue Jean Goujon,"Paris, France",,
37 Victor Massé,37 Victor Massé,"Paris, France",,
38 avenue de l'Opéra,38 avenue de l'Opéra,"Paris, France",,
38 Avenue de l'Opéra,38 avenue de l'Opéra,"Paris, France",,
38 Boulevard Haussmann,38 boulevard Haussmann,"Paris, France",,
38 rue Desbordes,38 rue Desbordes,"Paris, France",,
"38 Rue Esprit des Lois, bordeaux",38 rue Esprit des Lois,"Bordeaux, France",,
"38, rue Laffitte",38 rue Laffitte,"Paris, France",,
39 Boulevard Berthier,39 boulevard Berthier,"Paris, France",,
39 rue de l'Universit,39 rue de l'Université,"Paris, France",,
39 Rue Washington,39 rue Washington,"Paris, France",,
4 Avenue de la Bourdonnais,4 avenue de la Bourdonnais,"Paris, France",,
4 avenue Velasquez,4 avenue Velasquez,"Paris, France",,
4 Place de la Concorde,4 Place de la Concorde,"Paris, France",,
"4 Plaza de Afligidor, Madrid",4 Plaza de Afligidor,"Madrid, Spain",,
4 rue Boissy d'Anglas,4 rue Boissy d'Anglas,"Paris, France",,
"4 rue de Montreuil, Vincennes",4 rue de Montreuil,"Vincennes, France",,
4 rue de Volney,4 rue de Volney,"Paris, France",,
4 rue du Cloître Notre Dame,4 rue du Cloître Notre Dame,"Paris, France",,
"4 rue du mont, Thieville",4 rue du Mont,"Thiéville, France",,
4 rue Frédéric Bastiat,4 rue Frédéric Bastiat,"Paris, France",,
4 rue Galliera,4 rue Galliera,"Paris, France",,
4 rue Galliéra,4 rue Galliera,"Paris, France",,
4 Rue Gluck,4 rue Glück,"Paris, France",,
4 Rue Glück,4 rue Glück,"Paris, France",,
4 rue Legendre,4 rue Legendre,"Paris, France",,
4 rue Lepelletier,4 rue Lepelletier,"Lille, France",,
4 rue Mogador,4 rue Mogador,"Paris, France",,
4 Rue Mogador,4 rue Mogador,"Paris, France",,
40 Rue Blanche,40 rue Blanche,"Paris, France",,
40 rue Cortambert,40 rue Cortambert,"Paris, France",,
40 Rue des Martyres,40 rue des Martyrs,"Paris, France",,
40 rue des Martyrs,40 rue des Martyrs,"Paris, France",,
40 rue Pergolese,40 rue Pergolèse,"Paris, France",,
41 avenue Friedland,41 avenue Friedland,"Paris, France",,
41 rue de la Tour d'Auvergne,41 rue de la Tour d'Auvergne,"Paris, France",,
41 Rue de Richelieu,41 rue de Richelieu,"Paris, France",,
41 Rue Laffitte,41 rue Laffitte,"Paris, France",,
41 Rue Prony,41 rue Prony,"Paris, France",,
41 Rue Vivienne,41 rue Vivienne,"Paris, France",,
"41-42 Mittelstrasse, Berlin",41-42 Mittelstrasse,"Berlin, Germany",,
42 Boulevard Malesherbes,42 boulevard Malesherbes,"Paris, France",,
42 rue Blanche,42 rue Blanche,"Paris, France",,
42 Rue Boulainvilliers,42 rue Boulainvilliers,"Paris, France",,
42 Rue de Lisbonne,42 rue de Lisbonne,"Paris, France",,
"424 Clinton Avenue, Brooklyn",424 Clinton avenue,"Brooklyn, NY, USA",,
43 Boulevard Lannes,43 boulevard Lannes,"Paris, France",,
43 Boulevard Launes,43 boulevard Lannes,"Paris, France",,
43 Boulevrad Lannes,43 boulevard Lannes,"Paris, France",,
"43 Old Bond street, London",43 Old Bond street,"London, England, UK",,
43 Rue de Provence,43 rue de Provence,"Paris, France",,
43 Rue de Saint Petersbourg,43 rue de Saint Petersbourg,"Paris, France",,
43 rue Laffitte,43 rue Laffitte,"Paris, France",,
43 Rue Laffitte,43 rue Laffitte,"Paris, France",,
44 Rue de Douai,44 rue de Douai,"Paris, France",,
45 avenue de Villiers,45 avenue de Villiers,"Paris, France",,
45 quai d'Orsay,45 quai d'Orsay,"Paris, France",,
"45 Rue de la République, Lyon",45 rue de la République,"Lyon, France",,
46 Avenue Kleber,46 avenue Kléber,"Paris, France",,
46 Boulevard Haussmann,46 boulevard Haussmann,"Paris, France",,
46 quai Henri IV,46 quai Henri IV,"Paris, France",,
47 Boulevard Haussmann,47 boulevard Haussmann,"Paris, France",,
47 rue de la Victoire,47 rue de la Victoire,"Paris, France",,
47 Rue de Seine,47 rue de Seine,"Paris, France",,
"47 Uplandsgatan, Stockholm",47 Uplandsgatan,"Stockholm, Sweden",,
"48 Boulevard de l'Ouest, Baring",48 boulevard de l'Ouest,"Paris, France",,
48 rue de Londres,48 rue de Londres,"London, England, UK",,
48 rue Lepic,48 rue Lepic,"Paris, France",,
49 Boulevrad Haussmann,49 boulevard Haussmann,"Paris, France",,
49 Rue Lemercier,49 rue Lemercier,"Paris, France",,
"4bis Rue Rigault, Nanterre",4 bis rue Rigault,"Nanterre, France",,
"5 avenue Friedland, Paris",5 avenue Friedland,"Paris, France",,
5 avenue Velasquez,5 avenue Velasquez,"Paris, France",,
5 boulevard de Grenelle,5 boulevard de Grenelle,"Paris, France",,
5 Boulevard Malesherbes,5 boulevard Malesherbes,"Paris, France",,
"5 place del Pugreslo, Madrid",5 Place del Pugreslo,"Madrid, Spain",,
5 Place du Th. Français,5 Place du Th. Français,"Paris, France",,
5 quai Voltaire,5 quai Voltaire,"Paris, France",,
5 Quai Voltaire,5 quai Voltaire,"Paris, France",,
5 Regent street,5 Regent street,"London, England, UK",,
"5 Regent street, London",5 Regent street,"London, England, UK",,
"5 rue Boccador, Paris",5 rue Boccador,"Paris, France",,
5 rue Caumartin,5 rue Caumartin,"Paris, France",,
5 rue de Constantine,5 rue de Constantine,"Paris, France",,
"5 rue de Grassi, Bordeaux",5 rue de Grassi,"Bordeaux, France",,
5 rue de la paix,5 rue de la Paix,"Paris, France",,
5 rue de Surène,5 rue de Surène,"Paris, France",,
5 rue des Sablons,5 rue des Sablons,"Paris, France",,
5 Rue Laffitte,5 rue Laffitte,"Paris, France",,
"5 Rue Newton, Paris",5 rue Newton,"Paris, France",,
5 rue Scribe,5 rue Scribe,"Paris, France",,
"5 Rue Terre Nègre, Bordeaux",5 rue Terre Nègre,"Bordeaux, France",,
5 Square Latour Maubourg,5 Square Latour Maubourg,"Paris, France",,
50 avenue du bois de Boulogne,50 avenue du Bois de Boulogne,"Paris, France",,
50 avenue du Bois de Boulogne,50 avenue du Bois de Boulogne,"Paris, France",,
50 Avenue du Bois de Boulogne,50 avenue du Bois de Boulogne,"Paris, France",,
50 bis rue de Douai,50 bis rue de Douai,"Paris, France",,
50 Faubourg Saint Antoine,50 rue Faubourg Saint Antoine,"Paris, France",,
50 Rue d'Anjou,50 rue d'Anjou,"Paris, France",,
50 rue Saint Didier,50 rue Saint Didier,"Paris, France",,
50 rue Saint Lazare,50 rue Saint Lazare,"Paris, France",,
51 rue Caulaincourt,51 rue Caulaincourt,"Paris, France",,
52 bis Boulevard Haussmann,52 bis boulevard Haussmann,"Paris, France",,
52 rue de Rome,52 rue de Rome,"Paris, France",,
52 Rue de Rome,52 rue de Rome,"Paris, France",,
52 Rue des Saint pères,52 rue des Saint Pères,"Paris, France",,
53 Rue Caulincourt,53 rue Caulaincourt,"Paris, France",,
53 Rue Condorcet,53 rue Condorcet,"Paris, France",,
53 rue de Babylone,53 rue de Babylone,"Paris, France",,
53 rue de Lisbonne,53 rue de Lisbonne,"Paris, France",,
53 Rue de Lisbonne,53 rue de Lisbonne,"Paris, France",,
54 Faubourg Montmartre,54 Faubourg Montmartre,"Paris, France",,
54 rue Richer,54 rue Richer,"Paris, France",,
"556-558 fifth Avenue, New York",556-558 Fifth avenue,"New York, NY, USA",,
56 Avenue du Bois de Boulogne,56 avenue du Bois de Boulogne,"Paris, France",,
"56 rue de Florence, Brussels",56 rue de Florence,"Brussels, Belgium",,
56 Rue de la Victoire,56 rue de la Victoire,"Paris, France",,
56 rue de Ponthieu,56 rue de Ponthieu,"Paris, France",,
57 Rue Condorcet,57 rue Condorcet,"Paris, France",,
57 Rue Cortambert,57 rue Cortambert,"Paris, France",,
57 rue de la Boétie,57 rue de La Boétie,"Paris, France",,
"57 rue de La Boëtie, Paris, France",57 rue de La Boétie,"Paris, France",,
57 rue La Boétie,57 rue La Boétie,"Paris, France",,
57 rue La Boëtie,57 rue La Boétie,"Paris, France",,
57 rue Saint Domingue,57 rue Saint Dominique,"Paris, France",,
58 Rue Monceaux,58 rue Monceau,"Paris, France",,
59 Boulevard Pereire,59 boulevard Pereire,"Paris, France",,
59 Rue Ampère,59 rue Ampère,"Paris, France",,
"59, Rue de Châteaudun",59 rue de Châteaudun,"Paris, France",,
"590 Fifth Avenue, New York",590 Fifth avenue,"New York, NY, USA",,
6 Avenue de Messine,6 avenue de Messine,"Paris, France",,
6 avenue Percier,6 avenue Percier,"Paris, France",,
6 boulevard Capuchines,6 boulevard Capucines,"Paris, France",,
6 boulevard des Capucines,6 boulevard des Capucines,"Paris, France",,
6 place d'Anvers,6 Place d'Anvers,"Paris, France",,
6 Place de Rennes,6 Place de Rennes,"Rennes, France",,
6 Rue d'Uzès,6 rue d'Uzès,"Paris, France",,
6 Rue de Berlin,6 rue de Berlin,"Berlin, Germany",,
6 Rue de Calais,6 rue de Calais,"Paris, France",,
6 rue de l'Abbaye,6 rue de l'Abbaye,"Paris, France",,
6 Rue de Presbourg,6 rue de Presbourg,"Paris, France",,
6 Rue de Tousson,6 rue de Tousson,France,,
6 Rue du Val de Grâce,6 rue du Val de Grâce,"Paris, France",,
6 Rue Galilée,6 rue Galilée,"Paris, France",,
6 rue La Rochefoucauld,6 rue La Rochefoucauld,"Paris, France",,
6 Rue Laffitte,6 rue Laffitte,"Paris, France",,
6 Rue Richichasse,6 rue Richichasse,France,,
6 Rue Val de grâce,6 rue Val de Grâce,"Paris, France",,
6 rue Vivienne,6 rue Vivienne,"Paris, France",,
60 rue Ampère,60 rue Ampère,"Paris, France",,
60 rue de Clichy,60 rue de Clichy,"Paris, France",,
62 Pigalle,62 Pigalle,"Paris, France",,
62 rue Calais,62 rue de Calais,"Paris, France",,
62 rue de la Boetie,62 rue de La Boétie,"Paris, France",,
62 rue de Varenne,62 rue de Varenne,"Paris, France",,
62 Rue Pigalle,62 rue Pigalle,"Paris, France",,
62 rue Rodier,62 rue Rodier,"Paris, France",,
63 boulevard des Batignolles,63 boulevard des Batignolles,"Paris, France",,
63 Boulevard Haussmann,63 boulevard Haussmann,"Paris, France",,
63 Boulevrad Haussmann,63 boulevard Haussmann,"Paris, France",,
63 rue Taitbout,63 rue Taitbout,"Paris, France",,
63 rue Turbigo,63 rue Turbigo,"Paris, France",,
"63, Boulevard Haussmann",63 boulevard Haussmann,"Paris, France",,
64 rue Blanche,64 rue Blanche,"Paris, France",,
64 rue de la Rochefoucault,64 rue de la Rochefoucauld,"Paris, France",,
64 Rue Pierre Charron,64 rue Pierre Charron,"Paris, France",,
"64bis rue de Monceau, Paris, France",64 bis rue de Monceau,"Paris, France",,
65 Avenue Niel,65 avenue Niel,"Paris, France",,
65 Boulevard Clichy,65 boulevard Clichy,"Paris, France",,
65 Rue du Rocher,65 rue du Rocher,"Paris, France",,
66 bis rue Saint Didier,66 bis rue Saint Didier,"Paris, France",,
66 Rue Boursault,66 rue Boursault,"Paris, France",,
67 Avenue Henri Martin,67 avenue Henri Martin,"Paris, France",,
67 Rue de Chabrol,67 rue de Chabrol,"Paris, France",,
67 Rue de Chateaudun,67 rue de Châteaudun,"Paris, France",,
67 Rue de Chéky,67 rue de Chéky,France,,
"68 Boulevard Maillot, Neuilly",68 boulevard Maillot,"Neuilly sur Seine, France",,
69 Boulevard Haussmann,69 boulevard Haussmann,"Paris, France",,
69 Quai d'Tauteville,69 quai d'Tauteville,"Paris, France",,
69 Rue de Courcelles,69 rue de Courcelles,"Paris, France",,
69 Rue de Varenne,69 rue de Varenne,"Paris, France",,
7 Avenue Mac Mahon,7 avenue Mac Mahon,"Paris, France",,
7 bis rue Laffitte,7 bis rue Laffitte,"Paris, France",,
"7 bis, Impasse du Maine",7 bis Impasse du Maine,"Paris, France",,
"7 Haymarket, London",7 Haymarket,"London, England, UK",,
"7 Hyde Park Gardens, London",7 Hyde Park Gardens,"London, England, UK",,
7 Place Péraire,7 boulevard Pereire,"Paris, France",,
7 Rue Bourdaloue,7 rue Bourdaloue,"Paris, France",,
7 rue Caumartin,7 rue Caumartin,"Paris, France",,
7 Rue Caumartin,7 rue Caumartin,"Paris, France",,
7 rue Chaptal,7 rue Chaptal,"Paris, France",,
7 Rue Chaptal,7 rue Chaptal,"Paris, France",,
7 rue d'Artois,7 rue d'Artois,"Paris, France",,
7 rue de Berri,7 rue de Berri,"Paris, France",,
7 rue de Berry,7 rue de Berri,"Paris, France",,
7 rue de Montalivet,7 rue de Montalivet,"Paris, France",,
"7 Rue des Ecuries-d'Artois, Paris",7 rue des Ecuries d'Artois,"Paris, France",,
"7 rue du Parc, Nogent sur Marne",7 rue du Parc,"Nogent sur Marne, France",,
7 Rue Fermentin,7 rue Fermentin,"Paris, France",,
7 rue Laffitte,7 rue Laffitte,"Paris, France",,
7 Rue Laffitte,7 rue Laffitte,"Paris, France",,
7 Rue Lepelletier,7 rue Lepelletier,"Lille, France",,
7 rue Louis Le Grand,7 rue Louis Le Grand,"Paris, France",,
7 Rue Mansart,7 rue Mansart,"Paris, France",,
7 Rue Montalinet,7 rue Montalinet,"Paris, France",,
7 Rue Montalivet,7 rue Montalivet,"Paris, France",,
7 rue Saint Georges,7 rue Saint Georges,"Paris, France",,
7 Rue Vignon,7 rue Vignon,"Paris, France",,
70 Rue de Castiglione,70 rue de Castiglione,"Paris, France",,
"705 Fifth avenue, New York",705 Fifth avenue,"New York, NY, USA",,
71 85 rue Ampère,71-85 rue Ampère,"Paris, France",,
71 boulevard de Clichy,71 boulevard de Clichy,"Paris, France",,
71 Boulevard de Clichy,71 boulevard de Clichy,"Paris, France",,
"71 Boulevrad de Clichy, E. V.",71 boulevard de Clichy,"Paris, France",,
71 Faubourg Saint Honoré,71 Faubourg Saint Honoré,"Paris, France",,
72 avenue Victor Hugo,72 avenue Victor Hugo,"Paris, France",,
72 rue Jouffroy,72 rue Jouffroy,"Paris, France",,
73 avenue Montaigne,73 avenue Montaigne,"Paris, France",,
"73 bis, Faubourg Saint Honoré",73 bis Faubourg Saint Honoré,"Paris, France",,
73 Rue de Grenelle,73 rue de Grenelle,"Paris, France",,
74 avenue d'Iéna,74 avenue d'Iéna,"Paris, France",,
74 Rue Blanche,74 rue Blanche,"Paris, France",,
75 Boulevard Clichy,75 boulevard Clichy,"Paris, France",,
75 Boulevard de Clichy,75 boulevard de Clichy,"Paris, France",,
75 Rue de Chaillot,75 rue de Chaillot,"Paris, France",,
75 rue de Grenelle,75 rue de Grenelle,"Paris, France",,
76 avenue Marceau,76 avenue Marceau,"Paris, France",,
"76 Galerie Vicomte Emmanuel, Milan",76 Galerie Vicomte Emmanuel,"Milan, Italy",,
76 rue de la Faisanderie,76 rue de la Faisanderie,"Paris, France",,
76 rue La Faisanderie,76 rue de la Faisanderie,"Paris, France",,
77 avenue de Villilers,77 avenue de Villilers,"Paris, France",,
77 avenue Kléber,77 avenue Kléber,"Paris, France",,
77 Faubourg Saint Honoré,77 Faubourg Saint Honoré,"Paris, France",,
77 rue d'enfer Rochereau,77 rue Denfert Rochereau,"Paris, France",,
77 Rue Denfert Rochereau,77 rue Denfert Rochereau,"Paris, France",,
77 rue Scribe,77 rue Scribe,"Paris, France",,
78 Avenue Marceau,78 avenue Marceau,"Paris, France",,
78 Gallerie Victor Emanuel,78 Gallerie Victor Emanuel,"Milan, Italy",,
78 rue d'Anjou,78 rue d'Anjou,"Paris, France",,
79 Rue Saint Lazare,79 rue Saint Lazare,"Paris, France",,
8 avenue Percier,8 avenue Percier,"Paris, France",,
8 boulevard de Clichy,8 boulevard de Clichy,"Paris, France",,
8 Boulevard de Clichy,8 boulevard de Clichy,"Paris, France",,
8 Boulevard des Capucines,8 boulevard des Capucines,"Paris, France",,
8 du Parc Montsouris,8 du Parc Montsouris,"Paris, France",,
"8 Liebfraunenstrasse, Frankfurt",8 Liebfraunenstrasse,"Frankfurt, Germany",,
8 rue de l'Abbaye,8 rue de l'Abbaye,"Paris, France",,
8 Rue de Ponthieu,8 rue de Ponthieu,"Paris, France",,
8 Rue de Prony,8 rue de Prony,"Paris, France",,
8 rue de Sèze,8 rue de Sèze,"Paris, France",,
8 rue Delambre,8 rue Delambre,"Paris, France",,
8 rue Laffite,8 rue Laffitte,"Paris, France",,
8 rue Laffitte,8 rue Laffitte,"Paris, France",,
8 Rue Laffitte,8 rue Laffitte,"Paris, France",,
8 rue Murillo,8 rue Murillo,"Paris, France",,
8 Rue Murillo,8 rue Murillo,"Paris, France",,
8 rue Saint Georges,8 rue Saint Georges,"Paris, France",,
8 Rue Saint Georges,8 rue Saint Georges,"Paris, France",,
8 rue Saint Geroges,8 rue Saint Georges,"Paris, France",,
8 rue Tabert,8 rue Tabert,France,,
8 rue Weber,8 rue Weber,"Paris, France",,
"8, rue de Sèze",8 rue de Sèze,"Paris, France",,
"8, rue Saint Georges",8 rue Saint Georges,"Paris, France",,
80 Rue de la Chapelle,80 rue de la Chapelle,"Paris, France",,
80 Rue de Lille,80 rue de Lille,"Paris, France",,
80 rue du Ranelagh,80 rue du Ranelagh,"Paris, France",,
80 rue La Chapelle,80 rue de la Chapelle,"Paris, France",,
81 Boulevard Montpartnasse,81 boulevard Montpartnasse,"Paris, France",,
81 Rue Jouffroy,81 rue Jouffroy,"Paris, France",,
"82 boulevard Flandrin, Paris, France",82 boulevard Flandrin,"Paris, France",,
"82 Rue Traversière, Brussels",82 rue Traversière,"Brussels, Belgium",,
84 rue Mycha,84 rue Myrha,"Paris, France",,
85 rue Caumartin E. V.,85 rue Caumartin,"Paris, France",,
85 Rue de Sevres,85 rue de Sevres,"Paris, France",,
"9 boulevard de Seine, Nanterre",9 boulevard de Seine,"Nanterre, France",,
"9 Bruton St. Bond SC. W., London",9 Bruton street,"London, England, UK",,
9 place de la République,9 Place de la République,"Paris, France",,
9 rue Buffault,9 rue Buffault,"Paris, France",,
9 rue Caumartin,9 rue Caumartin,"Paris, France",,
9 Rue Caumartin,9 rue Caumartin,"Paris, France",,
9 rue Chaptal,9 rue Chaptal,"Paris, France",,
"9 Rue Chaptal, Paris, France",9 rue Chaptal,"Paris, France",,
9 rue d'Astorg,9 rue d'Astorg,"Paris, France",,
9 rue de Bois Vincennes,9 rue de Bois Vincennes,"Paris, France",,
"9 rue de l'Echelle, Paris, France",9 rue de l'Echelle,"Paris, France",,
9 Rue de l'Orente,9 rue de l'Orient,"Etterbeek, Belgium",,
9 Rue de l'Orient,9 rue de l'Orient,"Etterbeek, Belgium",,
9 Rue de Varennes,9 rue de Varenne,"Paris, France",,
9 rue Falguière,9 rue Falguière,"Paris, France",,
9 Rue Forest,9 rue Forest,"Paris, France",,
9 Rue H. Notre Dame de Lorette,9 rue Notre Dame de Lorette,"Paris, France",,
9 rue Laffitte,9 rue Laffitte,"Paris, France",,
9 Rue Laffitte,9 rue Laffitte,"Paris, France",,
"9 rue Laffitte, Paris, France",9 rue Laffitte,"Paris, France",,
9 rue Scribe,9 rue Scribe,"Paris, France",,
90 Boulevard Malesherbes,90 boulevard Malesherbes,"Paris, France",,
92 Avenue de WAgram,92 avenue de Wagram,"Paris, France",,
92 avenue des Champs Elysées,92 avenue des Champs Elysées,"Paris, France",,
92 Boulevard Malesherbes,92 boulevard Malesherbes,"Paris, France",,
93 Avenue de Villiers,93 avenue de Villiers,"Paris, France",,
94 Boulevard de Clichy,94 boulevard de Clichy,"Paris, France",,
95 rue de Vaugirard,95 rue de Vaugirard,"Paris, France",,
96 boulevard Haussmann,96 boulevard Haussmann,"Paris, France",,
98bis Boulevard Malesherbes,98 bis boulevard Malesherbes,"Paris, France",,
A l'exposition d'Anvers,Antwerp,"Antwerp, Belgium",,
A. Tooth & Sons,Premises of Arthur Tooth & Sons,"[multiple locations] London, England, UK; Paris, France; New York, NY, USA",,
"A. Tooth & Sons, Londres",London,"London, England, UK",,x
"Adler strasse 76, Dusseldorf",76 Adlerstrasse,"Dusseldorf, Germany",,
Albert,Premises of Albert,France,,
"Alexandrie, Egypte",Alexandria,"Alexandria, Egypt",,
"Allard, 20 rue des Capucines",20 rue des Capucines,"Paris, France",,
American Art Association,Premises of American Art Association,"New York, NY, USA",,"this is a group, with actor associate location"
"American Art Association, maison Square South, New York",Premises of American Art Association,"New York, NY, USA",,
"American Art Association, New York",Premises of American Art Association,"New York, NY, USA",,
"Amersfoort, Pays-Bas",Amersfoort,"Amersfoort, The Netherlands",,
Amsterdam,Amsterdam,"Amsterdam, The Netherlands",,
"Amsterdam, Nederland",Amsterdam,"Amsterdam, The Netherlands",,
"Amsterdam, Nederland; London, England, UK",Amsterdam; London,"[multiple locations] Amsterdam, The Netherlands; London, England, UK",,
"Amsterdam, Nederland; New York, NY, USA",Amsterdam; New York,"[multiple locations] Amsterdam, The Netherlands; New York, NY, USA",,
"Andes, 1222, Buenos Aires",Andes 1222 Buenos Aires,"Buenos Aires, Argentina",,
"Antwerpen, Belgique",Antwerp,"Antwerp, Belgium",,
Anvers,Anvers,"Antwerp, Belgium",,
"Arnhem, Pays-Bas",Arnhem,"Arnhem, The Netherlands",,
Arnold & Tripp,8 rue Saint Georges,"Paris, France",,
"Arnold & Tripp, 8, rue Saint Georges",8 rue Saint Georges,"Paris, France",,
"Arthur Tooth & Sons, Londres",London,"London, England, UK",,
"Arthur, Tooth & Sons, 155 New Bond street",155 New Bond street,"London, England, UK",,
"Arthur, Tooth & Sons, 155, New Bond street, Londres",155 New Bond street,"London, England, UK",,
Asnieres,Asnieres,"Asnières sur Seine, France",,
Asnières,Asnieres,"Asnières sur Seine, France",,
au boulevard,19 boulevard Montmartre,"Paris, France",,
Au boulevard,19 boulevard Montmartre,"Paris, France",,
Au Boulevard,19 boulevard Montmartre,"Paris, France",,
Au boulevard Montmartre,19 boulevard Montmartre,"Paris, France",,
Au salon,Premises of Goupil & Cie Paris,"Paris, France",,
Auvers,Auvers sur Oise,"Auvers sur Oise, France",,
Auvers sur Oise,Auvers sur Oise,"Auvers sur Oise, France",,
avenue de Breteuil,avenue de Breteuil,"Paris, France",,
Avenue de Friedland,avenue de Friedland,"Paris, France",,
avenue de l'Opéra,avenue de l'Opéra,"Paris, France",,
Avenue de l'Opéra,avenue de l'Opéra,"Paris, France",,
"avenue de la Bourdonnais, 10, Aubertot",10 avenue de la Bourdonnais,"Paris, France",,
Avenue de Laval,avenue de Laval,"Paris, France",,
Avenue de Malakoff,avenue de Malakoff,"Paris, France",,
Avenue de Villiers,avenue de Villiers,"Paris, France",,
Baden,Baden Baden,"Baden Baden, Germany",,
"Baden-Baden, Allemagne",Baden Baden,"Baden Baden, Germany",,
Baltimore,Baltimore,"Baltimore, MD, USA",,
"Baltimore, MD, USA",Baltimore,"Baltimore, MD, USA",,
Berlin,Berlin,"Berlin, Germany",,
Berlin (5 Sommerstrasse),5 Sommerstrasse,"Berlin, Germany",,
"Berlin, Deutschland",Berlin,"Berlin, Germany",,
"Bernheim Jeune & Cie, 25  de la Madeleine",25 de la Madeleine,"Paris, France",,
"Bernheim jeune & Cie, 36 Avenue de l'Opéra",36 avenue de l'Opéra,"Paris, France",,
"Bernheim Jeune & fils, Paris",Premises of Bernheim Jeune & Cie,"Paris, France",,
Biarritz,Biarritz,"Biarritz, France",,
Bois Colombes,Bois Colombes,"Bois Colombes, France",,
Bologna,Bologna,"Bologna, Italy",,
"Bond street, London",Bond street,"London, England, UK",,
Bordeaux,Bordeaux,"Bordeaux, France",,
Boston,Boston,"Boston, MA, USA",,
Boston (127 Tremont Street),127 Tremont street,"Boston, MA, USA",,
"Boston, Etats-Unis. (1822-1897)",Boston,"Boston, MA, USA",,
"Boston, MA, USA",Boston,"Boston, MA, USA",,
Bougival,Bougival,"Bougival, France",,
boulevard,19 boulevard Montmartre,"Paris, France",,
Boulevard,19 boulevard Montmartre,"Paris, France",,
Boulevard Arago 65,65 boulevard Arago,"Paris, France",,
Boulevard de Clichy,boulevard de Clichy,"Paris, France",,
Boulevard de la Madeleine,boulevard de la Madeleine,"Paris, France",,
Boulevard des Capucines,boulevard des Capucines,"Paris, France",,
Boulevard des Italiens,boulevard des Italiens,"Paris, France",,
Boulevard du Montparnasse,boulevard du Montparnasse,"Paris, France",,
Boulevard Haussmann,boulevard Haussmann,"Paris, France",,
Boulevard Magenta,boulevard Magenta,"Paris, France",,
Boulevard Malesherbes,boulevard Malesherbes,"Paris, France",,
Boulevard Mallesherbes,boulevard Malesherbes,"Paris, France",,
Boulevard Montmartre,19 boulevard Montmartre,"Paris, France",,
"Boulevard Rochechouart, 57 bis",57 bis boulevard Rochechouart,"Paris, France",,
Boulevard Saint Germain,boulevard Saint Germain,"Paris, France",,
"Boulevard, Paris, France",19 boulevard Montmartre,"Paris, France",,
"Breslau, Allemagne",Breslau,"Wrocław, Poland",,
Breton,Breton,"Brittany, France",,
Brighton,Brighton,"Brighton, England, UK",,
Brooklyn,Brooklyn,"Brooklyn, NY, USA",,
"Brussel, Belgique",Brussels,"Brussels, Belgium",,
Brussels,Brussels,"Brussels, Belgium",,
"Brussels, Belgium",Brussels,"Brussels, Belgium",,
Bruxelles,Brussels,"Brussels, Belgium",,
"Bruxelles, Belgique",Brussels,"Brussels, Belgium",,
Buenos Aires,Buenos Aires,"Buenos Aires, Argentina",,
Buffalo,Buffalo,"Buffalo, NY, USA",,
